date	open	high	low	close	volume
2017-05-17	130.9700000	132.1800000	130.6000000	132.0700000	17.611.290
2017-05-18	131.3700000	132.8400000	125.8500000	126.9000000	80.113.110
2017-05-19	127.3000000	127.4000000	124.0000000	124.1900000	57.664.570
2017-05-22	124.4900000	124.4900000	122.1700000	122.5200000	39.193.160
2017-05-23	122.5800000	123.7100000	121.9600000	123.2300000	34.369.260
2017-05-24	123.3000000	123.6700000	120.9200000	122.0000000	32.248.550
2017-05-25	122.3200000	122.4700000	120.7500000	121.6100000	24.546.840
2017-05-26	121.4000000	122.2000000	120.5400000	122.2000000	22.646.890
2017-05-29	122.4100000	123.8300000	122.1100000	123.1100000	24.470.000
2017-05-30	122.7200000	122.9100000	121.7900000	122.1000000	16.057.320
2017-05-31	122.2500000	122.7800000	119.4000000	120.2800000	55.389.010
2017-06-01	120.2900000	120.9800000	117.2400000	118.0000000	48.558.490
2017-06-02	117.8000000	119.6900000	116.5500000	119.6900000	38.260.450
2017-06-05	119.5900000	120.9900000	118.5500000	119.0000000	24.767.790
2017-06-06	119.0900000	120.2400000	118.6600000	119.0500000	18.193.840
2017-06-07	119.3300000	121.4400000	118.8500000	118.9200000	27.870.030
2017-06-08	119.1900000	120.1100000	117.8200000	119.3000000	27.514.310
2017-06-09	119.3200000	120.5000000	118.9500000	120.5000000	21.294.170
2017-06-13	120.2900000	120.3800000	118.1500000	118.1500000	31.058.980
2017-06-14	118.2600000	118.5400000	115.1000000	115.3500000	47.003.760
2017-06-15	115.2500000	115.7500000	111.4600000	115.4900000	120.644.420
2017-06-16	115.8100000	117.2500000	114.6000000	116.0200000	40.336.010
2017-06-19	116.0000000	117.4500000	115.7900000	117.3300000	21.749.140
2017-06-20	117.5100000	119.0000000	116.5600000	117.4400000	29.930.700
2017-06-21	117.5000000	118.3200000	116.8400000	117.9700000	23.560.060
2017-06-22	117.7800000	119.7800000	116.8600000	119.5500000	31.513.190
2017-06-23	119.5200000	120.0900000	118.6600000	119.1000000	23.303.360
2017-06-26	119.5000000	119.9700000	118.2600000	118.6700000	18.274.640
2017-06-27	118.4000000	119.7500000	118.0200000	119.3500000	18.365.790
2017-06-28	118.7200000	119.7000000	118.1900000	119.7000000	21.106.940
2017-06-29	120.1800000	120.8800000	118.8000000	119.1600000	26.435.690
2017-06-30	118.9500000	120.2200000	118.1800000	118.4900000	22.432.000
2017-07-03	119.1700000	119.9300000	118.7500000	119.8600000	18.087.840
2017-07-04	120.0000000	123.2900000	119.7200000	122.7300000	37.693.640
2017-07-05	122.9500000	123.7500000	122.3200000	122.7000000	26.052.360
2017-07-06	122.8200000	123.6500000	121.4400000	122.6800000	25.151.140
2017-07-07	122.1900000	123.0000000	121.4000000	123.0000000	24.725.120
2017-07-10	123.2600000	124.6200000	123.0300000	124.2500000	27.166.510
2017-07-11	124.3800000	124.9400000	123.8500000	124.7800000	20.642.420
2017-07-12	125.0100000	125.3000000	124.1900000	124.8700000	22.701.550
2017-07-13	124.7900000	125.8900000	124.6600000	125.5500000	29.387.490
